Unidade federativa,Partido do governador,Óbitos por covid*,Mortes por 100 mil habitantes,Votos em Bolsonaro em %**
Amazonas,PSC,12136,292.8,41.14
Rondônia,PSL,4368,245.8,58.94
Mato Grosso,DEM,8081,231.9,55.81
Roraima,PSL,1362,224.8,60.7
Rio de Janeiro,PSC,38040,220.3,53.88
Distrito Federal,MDB,6449,213.9,55.27
Espírito Santo,PSB,7862,195.6,50.45
Rio Grande do Sul,PSDB,21018,184.7,49.04
Goiás,DEM,12119,172.7,52.57
São Paulo,PSDB,78554,171.1,47.73
Mato Grosso do Sul,PSDB,4571,164.5,51.99
Santa Catarina,PSL,11548,161.2,61.32
Ceará,PT,14692,160.9,20.23
Amapá,PDT,1346,159.2,39.13
Sergipe,PSD,3642,158.4,24.24
Paraná,PSD,17685,154.7,52.81
Paraíba,CIDADANIA,6001,149.3,27.81
Acre,PP,1306,148.1,59.17
Tocantins,DEM,2133,135.6,40.62
Rio Grande do Norte,PT,4710,134.3,27.52
Piauí,PT,4298,131.3,17.37
Pernambuco,PSB,12479,130.6,26.79
Pará,MDB,10825,125.8,34.06
Minas Gerais,NOVO,25795,121.9,43.46
Alagoas,MDB,3688,110.5,31.2
Bahia,PT,15918,107,20.94
Maranhão,PCdoB,6321,89.3,22.68
