*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Semi-major axis       =  3396.2 
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150        Equatorial radius, Re = 3394.0 km                                       
  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Apr 23 03:17:47 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1919-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 10000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Coordinate systm: Body Mean Equator and Node of Date                           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903,  1.314849835856560E+00,  6.029431364418530E-01,  1.006148370932753E-01, -4.938821858687960E-03,  1.373575513058139E-02, -9.341342602083629E-04,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443,  1.295965940144735E+00,  6.527130102688855E-01,  9.713869839638874E-02, -5.399641873577212E-03,  1.351414336884362E-02, -9.690393307304275E-04,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975,  1.275418853589827E+00,  7.016453396130625E-01,  9.353789089789152E-02, -5.849455682025179E-03,  1.327724317348809E-02, -1.002395350187381E-03,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500,  1.253249628125165E+00,  7.496854115884517E-01,  8.981811212294329E-02, -6.287803189980434E-03,  1.302567374045217E-02, -1.034181267397527E-03,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017,  1.229500927346774E+00,  7.967807889681150E-01,  8.598512951399427E-02, -6.714261918561595E-03,  1.276006155048102E-02, -1.064379811990023E-03,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527,  1.204216890440779E+00,  8.428813335688147E-01,  8.204476702466704E-02, -7.128446188723000E-03,  1.248103862073869E-02, -1.092977297864706E-03,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029,  1.177442998999336E+00,  8.879392212836483E-01,  7.800289229793810E-02, -7.530006491667273E-03,  1.218923971541172E-02, -1.119963448531065E-03,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523,  1.149225947289910E+00,  9.319089492385070E-01,  7.386540440935886E-02, -7.918628113582448E-03,  1.188530074696089E-02, -1.145331313102080E-03,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009,  1.119613516290577E+00,  9.747473356807649E-01,  6.963822223340982E-02, -8.294030541597991E-03,  1.156985650378451E-02, -1.169076964227928E-03,
2422103.372500000, A.D. 1919-May-24 20:56:24.0000,      21.237488,  1.088654451899089E+00,  1.016413513033864E+00,  6.532727341099649E-02, -8.655965719479094E-03,  1.124353904851981E-02, -1.191199506707915E-03,
2422107.025000000, A.D. 1919-May-28 12:36:00.0000,      21.243960,  1.056398347590917E+00,  1.056868914771329E+00,  6.093848395051794E-02, -9.004217372840117E-03,  1.090697608115350E-02, -1.211700698798748E-03,
