*******************************************************************************
 Revised: November 5, 2015          134340 Pluto                            999
 
 NOTE: Pre-computed solution PLU055/DE433; a fit to all available observations 
 including New Horizons spacecraft encounter tracking.

 PHYSICAL DATA (updated 2018-Aug-15; Mc= Charon mass, radius is IAU 2009):
  Mass x10^22 (kg)      = 1.307+-0.018    Volume, 10^10 km^3    = 0.697
  GM (planet) km^3/s^2  = 869.33907803    Density (R=1195 km)   = 1.86 g/cm^3
  GM 1-sigma, km^3/s^2  =   1.5           Surface gravity       = 0.611 m/s^2 
  Vol. mean radius (km) = 1188.3+-1.6     Mass ratio (Mc/Mp)    = 0.117
  Sidereal rot. period  = 153.29335198 h  Sid. rot. rat, rad/s  = 0.0000113856
  Mean solar day, h     = 153.2820        Mean orbit velocity   = 4.67 km/s
  Sidereal orbit period = 249.58932 yr    Escape speed, km/s    = 1.21            
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.56        0.56        0.88
  Maximum Planetary IR (W/m^2)   0.8         0.3         0.5
  Minimum Planetary IR (W/m^2)   0.8         0.3         0.5
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Apr 23 03:20:51 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Sun (10)                        {source: plu055l_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1919-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 10000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Coordinate systm: Body Mean Equator and Node of Date                           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903,  6.207253195779594E+00,  4.293990334557780E+01, -5.052060071622337E+00, -2.432237025209723E-03, -1.705200427591952E-04,  4.745403634652280E-04,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443,  6.198417682125061E+00,  4.293931799924062E+01, -5.050312097124083E+00, -2.408030136744968E-03, -1.626078536283614E-04,  4.653087141865182E-04,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975,  6.189565740934410E+00,  4.293869571438669E+01, -5.048602207390585E+00, -2.428722461776105E-03, -1.638734267658490E-04,  4.833412097244392E-04,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500,  6.180748018753884E+00,  4.293810657061663E+01, -5.046869657136629E+00, -2.415951342181536E-03, -1.717882190940238E-04,  4.603880590337775E-04,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017,  6.171884196104244E+00,  4.293748638961661E+01, -5.045138842098971E+00, -2.418497700164922E-03, -1.585561334963481E-04,  4.839288841957942E-04,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527,  6.163068182571467E+00,  4.293688059692612E+01, -5.043426605383829E+00, -2.426937595118363E-03, -1.767318587599165E-04,  4.647777907490306E-04,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029,  6.154211298219976E+00,  4.293627162595253E+01, -5.041678240917995E+00, -2.409453810342852E-03, -1.595321416982614E-04,  4.759607064640195E-04,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523,  6.145379231873716E+00,  4.293564567140572E+01, -5.039975358556915E+00, -2.432732929201930E-03, -1.745886617294598E-04,  4.752447940215458E-04,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009,  6.136542449326215E+00,  4.293504515190020E+01, -5.038225793808848E+00, -2.408578305693433E-03, -1.669680434335526E-04,  4.656119087127926E-04,
