*******************************************************************************
 Revised: October 11, 2016             Saturn                               699
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931207.8      GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Apr 23 03:19:21 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat409l_merged_DE437}
Center body name: Sun (10)                        {source: sat409l_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1919-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 10000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Coordinate systm: Body Mean Equator and Node of Date                           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903, -6.334474844701627E+00,  6.654140604805799E+00, -8.867502607475306E-01, -4.349512233468228E-03, -3.786505247777735E-03, -3.738003425596299E-05,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443, -6.350343512750171E+00,  6.640293169992876E+00, -8.868845353095508E-01, -4.339764097678669E-03, -3.795723823644559E-03, -3.624984560811290E-05,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975, -6.366177669818939E+00,  6.626413988961614E+00, -8.870155776463136E-01, -4.330810182973672E-03, -3.804032810385529E-03, -3.551028268028442E-05,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500, -6.381981426740969E+00,  6.612503918434166E+00, -8.871433360515482E-01, -4.322932264298069E-03, -3.812841893245856E-03, -3.436227981506410E-05,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017, -6.397756156616907E+00,  6.598559513659958E+00, -8.872657297660678E-01, -4.314560597711808E-03, -3.822798128913926E-03, -3.263176366904029E-05,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527, -6.413497612821711E+00,  6.584578896373334E+00, -8.873821660047696E-01, -4.304833446359822E-03, -3.832391606175577E-03, -3.123788717308765E-05,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029, -6.429203474448806E+00,  6.570565532293668E+00, -8.874947396228182E-01, -4.295422458601834E-03, -3.840795313473684E-03, -3.044101853039429E-05,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523, -6.444877082938547E+00,  6.556521910929519E+00, -8.876043736743132E-01, -4.287185548686365E-03, -3.849176848639197E-03, -2.950915350247730E-05,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009, -6.460521539624386E+00,  6.542445799979633E+00, -8.877094515881333E-01, -4.279104959090889E-03, -3.858651730179982E-03, -2.795091360350013E-05,
2422103.372500000, A.D. 1919-May-24 20:56:24.0000,      21.237488, -6.476134332390721E+00,  6.528333867384736E+00, -8.878083945547751E-01, -4.269702094261231E-03, -3.868497306909864E-03, -2.632619082089510E-05,
2422107.025000000, A.D. 1919-May-28 12:36:00.0000,      21.243960, -6.491711353118194E+00,  6.514187960390665E+00, -8.879026205801068E-01, -4.259881744473505E-03, -3.877214486257856E-03, -2.534815869753272E-05,
