JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,
2457500.500000000, A.D. 2016-Apr-22 00:00:00.0000,      68.185568,  4.914048040107343E-01,  5.458048425497907E-01,  2.795667907597810E-01, -2.074363783334114E-02, -1.015370772298367E-02, -5.612260104657293E-03,
2457501.595000000, A.D. 2016-Apr-23 02:16:48.0000,      68.185558,  4.698800019463621E-01,  5.343230405146994E-01,  2.731681007244300E-01, -1.879115568082851E-02, -1.065305492628115E-02, -6.058457512943175E-03,
2457502.690000000, A.D. 2016-Apr-24 04:33:36.0000,      68.185547,  4.505187106325880E-01,  5.224588818796133E-01,  2.663322012478312E-01, -1.683354861892579E-02, -1.100287855161905E-02, -6.411910108713198E-03,
2457503.785000000, A.D. 2016-Apr-25 06:50:24.0000,      68.185535,  4.332683834447094E-01,  5.103831177479239E-01,  2.591569527406767E-01, -1.488370028894039E-02, -1.118577447041608E-02, -6.679508426730776E-03,
2457504.880000000, A.D. 2016-Apr-26 09:07:12.0000,      68.185523,  4.180645232340949E-01,  4.982532670605909E-01,  2.517327168009325E-01, -1.297026871468658E-02, -1.119047344197702E-02, -6.867996886821812E-03,
2457505.975000000, A.D. 2016-Apr-27 11:24:00.0000,      68.185510,  4.048319153117921E-01,  4.862133648926468E-01,  2.441425688680610E-01, -1.113077034476823E-02, -1.102108540821739E-02, -6.983845361954360E-03,
2457507.070000000, A.D. 2016-Apr-28 13:40:48.0000,      68.185496,  3.934863384990978E-01,  4.743932058544453E-01,  2.364626351812533E-01, -9.400531610571637E-03, -1.070044114791946E-02, -7.033176031434169E-03,
2457508.165000000, A.D. 2016-Apr-29 15:57:36.0000,      68.185482,  3.839370082351765E-01,  4.629076718220245E-01,  2.287625063496693E-01, -7.801709754992676E-03, -1.026624778120889E-02, -7.021727440125360E-03,
2457509.260000000, A.D. 2016-Apr-30 18:14:24.0000,      68.185468,  3.760895869941371E-01,  4.518567487824041E-01,  2.211056921655552E-01, -6.336545250272424E-03, -9.761439999539177E-03, -6.954839364644412E-03,
2457510.355000000, A.D. 2016-May-01 20:31:12.0000,      68.185454,  3.698492555455568E-01,  4.413266068874758E-01,  2.135500928445931E-01, -4.987438097636882E-03, -9.222259201045153E-03, -6.837446119265614E-03,
2457511.450000000, A.D. 2016-May-02 22:48:00.0000,      68.185439,  3.651231999912760E-01,  4.313917331281688E-01,  2.061484705613443E-01, -3.723918723456669E-03, -8.668439454977441E-03, -6.674071326945252E-03,
2457512.545000000, A.D. 2016-May-04 01:04:48.0000,      68.185425,  3.618219832382310E-01,  4.221177144184254E-01,  1.989489118596744E-01, -2.514038987120946E-03, -8.099113357272260E-03, -6.468822731273232E-03,
2457513.640000000, A.D. 2016-May-05 03:21:36.0000,      68.185410,  3.598595908743671E-01,  4.135640173129607E-01,  1.919952758614284E-01, -1.336075246551819E-03, -7.495956394557877E-03, -6.225390349421781E-03,
2457514.735000000, A.D. 2016-May-06 05:38:24.0000,      68.185394,  3.591523502006944E-01,  4.057860917765753E-01,  1.853276245126203E-01, -1.863114276606270E-04, -6.832436806132253E-03, -5.947054325620372E-03,
2457515.830000000, A.D. 2016-May-07 07:55:12.0000,      68.185377,  3.596172684297354E-01,  3.988363468008920E-01,  1.789826293679267E-01,  9.199021205338159E-04, -6.085802044529893E-03, -5.636708954336746E-03,
2457516.925000000, A.D. 2016-May-08 10:12:00.0000,      68.185359,  3.611704976318822E-01,  3.927639270210961E-01,  1.729939466097124E-01,  1.954162953895916E-03, -5.247429673091143E-03, -5.296905129762407E-03,
2457518.020000000, A.D. 2016-May-09 12:28:48.0000,      68.185341,  3.637265504980696E-01,  3.876136285466376E-01,  1.673925517940053E-01,  2.885866254972080E-03, -4.327766641025741E-03, -4.929905908651087E-03,
2457519.115000000, A.D. 2016-May-10 14:45:36.0000,      68.185322,  3.671985862792276E-01,  3.834245833761659E-01,  1.622070302259281E-01,  3.693879385989484E-03, -3.354063060505619E-03, -4.537743598494763E-03,
2457520.210000000, A.D. 2016-May-11 17:02:24.0000,      68.185303,  3.714996650833236E-01,  3.802294050421497E-01,  1.574638255901893E-01,  4.374727308311279E-03, -2.361753291014172E-03, -4.122266403389137E-03,
2457521.305000000, A.D. 2016-May-12 19:19:12.0000,      68.185284,  3.765444860332126E-01,  3.780542942240260E-01,  1.531874541566146E-01,  4.944259795091421E-03, -1.382674563473201E-03, -3.685167958712026E-03,
2457522.400000000, A.D. 2016-May-13 21:36:00.0000,      68.185265,  3.822509264638911E-01,  3.769202223108927E-01,  1.494006925366599E-01,  5.432173337638431E-03, -4.344767193274185E-04, -3.228000073415320E-03,
2457523.495000000, A.D. 2016-May-14 23:52:48.0000,      68.185245,  3.885407606119300E-01,  3.768448874635074E-01,  1.461247448040694E-01,  5.871392576948221E-03,  4.848636714810884E-04, -2.752174301214283E-03,
2457524.590000000, A.D. 2016-May-16 02:09:36.0000,      68.185225,  3.953392320379995E-01,  3.778448309801541E-01,  1.433793919588233E-01,  6.286207977927488E-03,  1.395391231538429E-03, -2.258960454590453E-03,
2457525.685000000, A.D. 2016-May-17 04:26:24.0000,      68.185204,  4.025735717047852E-01,  3.799370248131712E-01,  1.411831244786298E-01,  6.683523926322502E-03,  2.326973838767175E-03, -1.749489935344144E-03,
2457526.780000000, A.D. 2016-May-18 06:43:12.0000,      68.185183,  4.101709374224253E-01,  3.831394204894948E-01,  1.395532573694462E-01,  7.050428385448248E-03,  3.307557309161952E-03, -1.224769209169983E-03,
2457527.875000000, A.D. 2016-May-19 09:00:00.0000,      68.185160,  4.180564587898098E-01,  3.874703177675572E-01,  1.385060265913912E-01,  7.358972821755675E-03,  4.352174859230441E-03, -6.857047054711889E-04,
2457528.970000000, A.D. 2016-May-20 11:16:48.0000,      68.185137,  4.261520286175584E-01,  3.929468318558421E-01,  1.380566658206079E-01,  7.576402724774662E-03,  5.456736356303738E-03, -1.331361364006302E-04,
2457530.065000000, A.D. 2016-May-21 13:33:36.0000,      68.185113,  4.343762034342868E-01,  3.995830560750643E-01,  1.382194630160095E-01,  7.677077347215330E-03,  6.598866645090849E-03,  4.321278679347869E-04,
2457531.160000000, A.D. 2016-May-22 15:50:24.0000,      68.185090,  4.426451645699930E-01,  4.073886155582961E-01,  1.390077969444419E-01,  7.651697303279754E-03,  7.745472965507235E-03,  1.009278728896895E-03,
2457532.255000000, A.D. 2016-May-23 18:07:12.0000,      68.185066,  4.508742985585033E-01,  4.163681506680922E-01,  1.404341543840165E-01,  7.510447999526780E-03,  8.864249691580211E-03,  1.597486642197995E-03,
2457533.350000000, A.D. 2016-May-24 20:24:00.0000,      68.185042,  4.589797254637588E-01,  4.265219138297860E-01,  1.425101288997852E-01,  7.278902113287610E-03,  9.934882182681987E-03,  2.195890467802275E-03,
2457534.445000000, A.D. 2016-May-25 22:40:48.0000,      68.185018,  4.668791207592314E-01,  4.378472406983089E-01,  1.452464017190003E-01,  6.988184520619909E-03,  1.095582169369496E-02,  2.803595860865453E-03,
2457535.540000000, A.D. 2016-May-27 00:57:36.0000,      68.184994,  4.744914344050844E-01,  4.503403211767816E-01,  1.486527043715678E-01,  6.663011134174807E-03,  1.194412965463672E-02,  3.419675377598234E-03,
2457536.635000000, A.D. 2016-May-28 03:14:24.0000,      68.184970,  4.817355150939054E-01,  4.639975709438748E-01,  1.527377616482223E-01,  6.311994736705736E-03,  1.292843485458778E-02,  4.043163197706348E-03,
