JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903, -3.194837327497685E-01, -3.320923563510545E-01, -2.710521514503489E-02,  1.518948558300933E-02, -1.693840760889773E-02, -3.857816659680439E-05,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443, -2.580500102157198E-01, -3.869856642512906E-01, -2.670912809794222E-02,  1.832442175764105E-02, -1.303844423792516E-02,  2.534008554823944E-04,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975, -1.865485998109621E-01, -4.267960527234487E-01, -2.527160879499029E-02,  2.069910219213513E-02, -8.692456514914498E-03,  5.310171945854885E-04,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500, -1.078048400791863E-01, -4.500259924754057E-01, -2.285252356310087E-02,  2.228289462708503E-02, -3.969954876682822E-03,  7.901442049576640E-04,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017, -2.480482765964255E-02, -4.554125491929555E-01, -1.952811509589779E-02,  2.301725858690719E-02,  1.067741031583965E-03,  1.025796156513470E-03,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527,  5.919031488719606E-02, -4.419249063283752E-01, -1.539577951743152E-02,  2.280905377214038E-02,  6.351969407934711E-03,  1.231212660631884E-03,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029,  1.405067600214770E-01, -4.088264878755704E-01, -1.058246263044021E-02,  2.152458798184508E-02,  1.178621268857681E-02,  1.396772668079150E-03,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523,  2.149033103422520E-01, -3.558280852990277E-01, -5.257471913895946E-03,  1.898701906477127E-02,  1.721587889030031E-02,  1.508658042531881E-03,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009,  2.774239830121747E-01, -2.833778104618540E-01,  3.494718943586420E-04,  1.498487412428105E-02,  2.238264493535242E-02,  1.547365584158909E-03,
2422103.372500000, A.D. 1919-May-24 20:56:24.0000,      21.237488,  3.223272542585421E-01, -1.931524610153557E-01,  5.925287127670952E-03,  9.309736780168672E-03,  2.685985669932794E-02,  1.486695850827122E-03,
