JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903, -1.868899676649694E-01,  6.929159400484870E-01, -3.421843974314247E-02, -1.961795423442305E-02, -5.367460770575292E-03, -9.663293780819365E-04,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443, -2.574236739474587E-01,  6.696614285123693E-01, -3.755974066806324E-02, -1.896989717498038E-02, -7.354821156220343E-03, -8.616385433508282E-04,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975, -3.252191258657007E-01,  6.392837709005134E-01, -4.050151968822321E-02, -1.811991174859504E-02, -9.264346313998520E-03, -7.477605530551386E-04,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500, -3.895548799335532E-01,  6.021054416386619E-01, -4.301244535298349E-02, -1.707718633545665E-02, -1.107529432746910E-02, -6.259297828394413E-04,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017, -4.497470630007527E-01,  5.585227156501117E-01, -4.506586329434375E-02, -1.585308405702836E-02, -1.276803708914109E-02, -4.974702908952299E-04,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527, -5.051570686929062E-01,  5.090011618732664E-01, -4.664009463225715E-02, -1.446100282446510E-02, -1.432429738658558E-02, -3.637796674115134E-04,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029, -5.551986915762083E-01,  4.540703050464643E-01, -4.771867355334976E-02, -1.291620786312771E-02, -1.572736662735206E-02, -2.263119259570129E-04,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523, -5.993446038724062E-01,  3.943175329849389E-01, -4.829052109570404E-02, -1.123563973528726E-02, -1.696229972337617E-02, -8.655973047633707E-05,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009, -6.371320915002151E-01,  3.303813383053193E-01, -4.835005326557346E-02, -9.437701365091120E-03, -1.801608420477942E-02,  5.396373867503333E-05,
2422103.372500000, A.D. 1919-May-24 20:56:24.0000,      21.237488, -6.681679797274631E-01,  2.629439931406063E-01, -4.789722272417726E-02, -7.542027938277397E-03, -1.887778125296946E-02,  1.937429755373893E-04,
2422107.025000000, A.D. 1919-May-28 12:36:00.0000,      21.243960, -6.921326933474582E-01,  1.927237626230661E-01, -4.693749438124405E-02, -5.569243793479547E-03, -1.953863700655594E-02,  3.312781002389647E-04,
2422110.677500000, A.D. 1919-Jun-01 04:15:36.0000,      21.250423, -7.087834115821378E-01,  1.204667676884884E-01, -4.548175628526781E-02, -3.540710539510407E-03, -1.999216317112427E-02,  4.651022920723867E-04,
