time,I
0.165,46.00
0.550,200.00
0.801,2015.00
1.114,51.00
1.517,200.00
1.801,1986.00
2.228,36.00
2.686,200.00
2.926,2002.00
3.249,48.00
3.650,200.00
3.895,1977.00
4.339,37.00
4.698,200.00
4.981,1992.00
5.383,41.00
5.785,200.00
6.029,1988.00
6.430,38.00
6.833,200.00
7.076,2017.00
7.437,48.00
7.839,200.00
8.081,2001.00
8.483,35.00
8.966,200.00
9.209,1997.00
9.584,45.00
9.940,200.00
10.216,1986.00
10.618,33.00
11.020,200.00
11.262,1994.00
11.584,47.00
12.110,200.00
12.351,2010.00
12.676,27.00
13.156,200.00
13.397,2006.00
13.758,42.00
14.151,200.00
14.438,1988.00
14.806,27.00
15.289,200.00
15.532,1937.00
15.851,45.00
16.296,200.00
16.537,2006.00
16.874,29.00
17.344,200.00
17.626,1994.00
17.903,46.00
18.350,200.00
18.593,2000.00
19.036,33.00
19.517,200.00
19.760,1871.00
20.002,40.00
20.404,200.00
20.648,1998.00
21.096,27.00
21.570,200.00
21.814,2019.00
22.054,45.00
22.541,200.00
22.820,2007.00
23.223,28.00
23.707,200.00
23.949,1853.00
24.231,39.00
24.593,200.00
24.875,2009.00
25.288,27.00
25.760,200.00
26.017,2001.00
26.284,41.00
26.767,200.00
27.010,1996.00
27.437,24.00
27.898,200.00
28.138,1778.00
28.449,33.00
28.922,200.00
29.144,2012.00
29.470,24.00
29.951,200.00
30.231,1933.00
30.473,31.00
30.954,200.00
31.238,2003.00
31.558,25.00
32.041,200.00
32.284,1976.00
32.605,35.00
33.009,200.00
33.295,1991.00
33.693,20.00
34.178,200.00
34.421,1930.00
34.694,29.00
35.147,200.00
35.429,1948.00
35.818,24.00
36.230,200.00
36.473,1961.00
36.753,24.00
37.237,200.00
37.480,1955.00
37.879,20.00
38.362,200.00
38.647,1848.00
38.890,20.00
39.371,200.00
39.612,1955.00
39.974,18.00
40.457,200.00
40.700,1941.00
40.941,21.00
41.434,200.00
41.709,1966.00
42.114,17.00
42.591,200.00
42.834,1765.00
43.140,17.00
43.604,200.00
43.841,1962.00
44.163,15.00
44.647,200.00
44.930,1884.00
45.170,12.00
45.675,200.00
45.895,1959.00
46.218,15.00
46.821,200.00
47.064,1326.00
47.304,14.00
47.789,200.00
48.070,1937.00
48.392,16.00
48.875,200.00
49.121,1749.00
49.399,14.00
49.882,200.00
50.124,1940.00
50.447,19.00
51.055,200.00
51.292,1100.00
51.533,17.00
51.936,200.00
52.183,1961.00
52.621,13.00
53.103,200.00
53.346,1722.00
53.598,11.00
54.069,200.00
54.353,1952.00
54.675,17.00
55.237,200.00
55.482,745.00
55.763,18.00
56.164,200.00
56.406,1933.00
56.808,13.00
57.291,200.00
57.533,1662.00
57.833,10.00
58.299,200.00
58.540,1956.00
58.862,12.00
59.467,200.00
59.709,606.00
