time,I
0.196,42.00
0.588,200.00
0.825,1993.00
1.377,37.00
1.772,200.00
2.051,1984.00
2.817,40.00
3.222,200.00
3.500,1981.00
4.063,41.00
4.425,200.00
4.707,2002.00
5.472,34.00
5.874,200.00
6.157,1999.00
6.720,33.00
7.203,200.00
7.449,1995.00
8.169,37.00
8.534,200.00
8.814,1972.00
9.377,36.00
9.860,200.00
10.103,1970.00
10.825,35.00
11.228,200.00
11.472,1973.00
12.034,36.00
12.516,200.00
12.758,1972.00
13.485,33.00
13.885,200.00
14.128,1995.00
14.692,35.00
15.173,200.00
15.455,1988.00
16.140,31.00
16.543,200.00
16.784,1955.00
17.307,43.00
17.870,200.00
18.113,1965.00
18.837,32.00
19.245,200.00
19.481,1960.00
20.047,34.00
20.528,200.00
20.770,1950.00
21.493,32.00
21.896,200.00
22.139,1964.00
22.702,30.00
23.184,200.00
23.473,1959.00
24.174,29.00
24.634,200.00
24.915,1943.00
25.399,31.00
25.881,200.00
26.123,1951.00
26.848,27.00
27.332,200.00
27.573,1948.00
28.060,30.00
28.538,200.00
28.820,1952.00
29.505,24.00
29.908,200.00
30.150,1975.00
30.713,28.00
31.197,200.00
31.476,1943.00
32.165,23.00
32.563,200.00
32.845,1922.00
33.413,22.00
33.891,200.00
34.137,1919.00
34.858,23.00
35.341,200.00
35.582,1936.00
35.985,26.00
36.471,200.00
36.750,1914.00
37.514,23.00
37.997,200.00
38.280,1941.00
38.682,27.00
39.165,200.00
39.407,1906.00
40.211,20.00
40.574,200.00
40.857,1924.00
41.339,25.00
41.822,200.00
42.066,1938.00
42.788,25.00
43.275,200.00
43.513,1929.00
43.997,22.00
44.481,200.00
44.761,1930.00
45.449,23.00
45.929,200.00
46.213,1919.00
46.694,22.00
47.176,200.00
47.419,1939.00
48.143,21.00
48.627,200.00
48.869,1932.00
49.351,19.00
49.839,200.00
50.117,1921.00
50.801,18.00
51.283,200.00
51.566,1937.00
52.048,18.00
52.531,200.00
52.773,1928.00
53.498,18.00
53.982,200.00
54.223,1930.00
54.624,25.00
55.231,200.00
55.471,1946.00
56.196,14.00
56.679,200.00
56.921,1963.00
57.323,19.00
57.892,200.00
58.171,1945.00
58.815,17.00
59.377,200.00
59.618,1954.00
60.021,15.00
60.583,200.00
60.866,1949.00
61.511,15.00
61.995,200.00
62.238,1958.00
62.639,22.00
63.204,200.00
63.485,1955.00
64.168,12.00
64.651,200.00
64.933,1954.00
65.336,20.00
65.901,200.00
66.150,1937.00
66.866,14.00
67.353,200.00
67.592,1940.00
67.956,31.00
68.237,200.00
68.519,1934.00
69.524,11.00
70.007,200.00
70.251,1953.00
70.611,77.00
70.893,200.00
71.135,1938.00
72.182,14.00
72.745,200.00
72.988,1928.00
73.352,21.00
73.912,200.00
74.154,1939.00
