*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Apr 23 03:18:56 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1919-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 10000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Coordinate systm: Body Mean Equator and Node of Date                           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903, -5.587151014635162E-01,  5.177273692118527E+00, -3.582778722826904E-01, -7.479032530486509E-03, -4.883006634816835E-04, -6.320681194964394E-04,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443, -5.860202374328052E-01,  5.175417857723123E+00, -3.605809460166494E-01, -7.474056999720892E-03, -5.267877203488306E-04, -6.292774524069153E-04,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975, -6.133111989491020E-01,  5.173420717155256E+00, -3.628743659147499E-01, -7.470375931369455E-03, -5.669455735749370E-04, -6.266197690801442E-04,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500, -6.405844343206901E-01,  5.171278680845973E+00, -3.651575683666373E-01, -7.465306509083048E-03, -6.058425208867555E-04, -6.238240175581464E-04,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017, -6.678419407640315E-01,  5.168993186298215E+00, -3.674309230695290E-01, -7.460486464288636E-03, -6.464074940140527E-04, -6.210247318499669E-04,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527, -6.950778431396494E-01,  5.166563185426916E+00, -3.696936415165202E-01, -7.454445781009905E-03, -6.846784136070037E-04, -6.181422353684423E-04,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029, -7.222960049841047E-01,  5.163991987759476E+00, -3.719463917111412E-01, -7.449281561016630E-03, -7.244494737847630E-04, -6.153403771506654E-04,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523, -7.494929376276601E-01,  5.161277977789656E+00, -3.741886748457967E-01, -7.443583436628635E-03, -7.625595645711046E-04, -6.125272771329229E-04,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009, -7.766721640052529E-01,  5.158421132425925E+00, -3.764210158527360E-01, -7.437932224548534E-03, -8.027895335679223E-04, -6.096674998762949E-04,
2422103.372500000, A.D. 1919-May-24 20:56:24.0000,      21.237488, -8.038272067764617E-01,  5.155420406004845E+00, -3.786425473007101E-01, -7.431391803239510E-03, -8.407818167669927E-04, -6.067703520689178E-04,
2422107.025000000, A.D. 1919-May-28 12:36:00.0000,      21.243960, -8.309611682704723E-01,  5.152278023595997E+00, -3.808538075794131E-01, -7.425085986008443E-03, -8.802345791665181E-04, -6.038685911765220E-04,
