*******************************************************************************
 Revised: October 11, 2016             Saturn                               699
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931207.8      GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Apr 22 21:59:28 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat409l_merged_DE437}
Center body name: Earth (399)                     {source: sat409l_merged_DE437}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 1916-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 10000 steps
*******************************************************************************
Center geodetic : 9.85000000,57.0970000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 9.85000000,3472.92544,5331.7756 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
EOP file        : eop.190422.p190714                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-22. PREDICTS-> 2019-JUL-13
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2420975.500000000, A.D. 1916-Apr-22 00:00:00.0000,      18.813002, -1.979785490357971E+00,  8.384251984118622E+00,  3.592772360164629E+00, -1.470548816907406E-02,  1.174001480573055E-02,  5.320391092076254E-03,
2420979.262000000, A.D. 1916-Apr-25 18:17:16.8000,      18.822706, -2.036462819785569E+00,  8.426900014256308E+00,  3.612326526482398E+00, -1.541841828952257E-02,  1.116094951888217E-02,  5.071286833978734E-03,
2420983.024000000, A.D. 1916-Apr-29 12:34:33.6000,      18.832398, -2.096502428870810E+00,  8.467296984234119E+00,  3.630892380584195E+00, -1.625818152050930E-02,  1.033750443601377E-02,  4.796844733900875E-03,
2420986.786000000, A.D. 1916-May-03 06:51:50.4000,      18.842078, -2.159685076580857E+00,  8.505244069205938E+00,  3.648381373455517E+00, -1.725912544024833E-02,  9.599942431266528E-03,  4.497719633918444E-03,
2420990.548000000, A.D. 1916-May-07 01:09:07.2000,      18.851746, -2.225801620120913E+00,  8.540505779382013E+00,  3.664711654542971E+00, -1.809857076313356E-02,  9.044031184415323E-03,  4.179077010693592E-03,
2420994.310000000, A.D. 1916-May-10 19:26:24.0000,      18.861401, -2.294695029743587E+00,  8.572898792884363E+00,  3.679811719825634E+00, -1.864255524504154E-02,  8.372309476759427E-03,  3.844928416480300E-03,
2420998.072000000, A.D. 1916-May-14 13:43:40.8000,      18.871045, -2.366181781676848E+00,  8.602321446540317E+00,  3.693620698528302E+00, -1.917018248033688E-02,  7.415469065960236E-03,  3.495566811453294E-03,
2421001.834000000, A.D. 1916-May-18 08:00:57.6000,      18.880676, -2.440005124472266E+00,  8.628678968369709E+00,  3.706086751227809E+00, -1.989191716492431E-02,  6.432917463224933E-03,  3.131067072378240E-03,
2421005.596000000, A.D. 1916-May-22 02:18:14.4000,      18.890296, -2.515915423242103E+00,  8.651825838882029E+00,  3.717161152873866E+00, -2.058885457499694E-02,  5.671922545189007E-03,  2.753011819240499E-03,
2421009.358000000, A.D. 1916-May-25 20:35:31.2000,      18.899903, -2.593738180852379E+00,  8.671608308161540E+00,  3.726791551452183E+00, -2.098714997198232E-02,  4.944486010476931E-03,  2.362775321618609E-03,
2421013.120000000, A.D. 1916-May-29 14:52:48.0000,      18.909498, -2.673300776521037E+00,  8.687933159847104E+00,  3.734925945524529E+00, -2.122603724315127E-02,  3.954693424621408E-03,  1.960387457313297E-03,
2421016.882000000, A.D. 1916-Jun-02 09:10:04.8000,      18.919081, -2.754341318897054E+00,  8.700744013579557E+00,  3.741520516358357E+00, -2.161268841353365E-02,  2.810648455491718E-03,  1.545900501021265E-03,
