*******************************************************************************
 Revised: June 17, 2016                Uranus                               799
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793951.322     GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Apr 22 21:59:57 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 1916-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 10000 steps
*******************************************************************************
Center geodetic : 9.85000000,57.0970000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 9.85000000,3472.92544,5331.7756 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
EOP file        : eop.190422.p190714                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-22. PREDICTS-> 2019-JUL-13
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2420975.500000000, A.D. 1916-Apr-22 00:00:00.0000,      18.813002,  1.558777220847114E+01, -1.172114978927372E+01, -5.345044437971523E+00, -6.485436056888983E-03,  1.596656322721104E-02,  6.851017135485595E-03,
2420979.262000000, A.D. 1916-Apr-25 18:17:16.8000,      18.822706,  1.556200815376108E+01, -1.166257746302456E+01, -5.319721126445839E+00, -7.203916867245438E-03,  1.540044225575566E-02,  6.607584367287534E-03,
2420983.024000000, A.D. 1916-Apr-29 12:34:33.6000,      18.832398,  1.553286115464574E+01, -1.160620509018946E+01, -5.295364827287032E+00, -8.049373686752024E-03,  1.459124959864847E-02,  6.338934059405679E-03,
2420986.786000000, A.D. 1916-May-03 06:51:50.4000,      18.842078,  1.550054740087313E+01, -1.155222788926864E+01, -5.272063296452721E+00, -9.057279881789868E-03,  1.386819078095394E-02,  6.045666894471418E-03,
2420990.548000000, A.D. 1916-May-07 01:09:07.2000,      18.851746,  1.546527200441868E+01, -1.150088409182734E+01, -5.249898193230470E+00, -9.904061572142004E-03,  1.332535035325146E-02,  5.733092171801864E-03,
2420994.310000000, A.D. 1916-May-10 19:26:24.0000,      18.861401,  1.542719439661121E+01, -1.145236122473226E+01, -5.228940641273985E+00, -1.045402914778326E-02,  1.266624840601987E-02,  5.404832160223081E-03,
2420998.072000000, A.D. 1916-May-14 13:43:40.8000,      18.871045,  1.538650234729210E+01, -1.140675904691945E+01, -5.209252732440800E+00, -1.098726844969111E-02,  1.172329247127148E-02,  5.061137457259725E-03,
2421001.834000000, A.D. 1916-May-18 08:00:57.6000,      18.880676,  1.534345025301941E+01, -1.136416774366127E+01, -5.190885955922939E+00, -1.171597761995475E-02,  1.075532569728630E-02,  4.702637463900690E-03,
2421005.596000000, A.D. 1916-May-22 02:18:14.4000,      18.890296,  1.529828394176476E+01, -1.132473438048498E+01, -5.173888216693145E+00, -1.242031466363514E-02,  1.000765130467130E-02,  4.330492128652464E-03,
2421009.358000000, A.D. 1916-May-25 20:35:31.2000,      18.899903,  1.525117825874626E+01, -1.128861708351949E+01, -5.158312648939817E+00, -1.282534218719068E-02,  9.292871806349660E-03,  3.946064340024213E-03,
2421013.120000000, A.D. 1916-May-29 14:52:48.0000,      18.909498,  1.520230995023840E+01, -1.125590896496046E+01, -5.144210857661907E+00, -1.306980304441377E-02,  8.316478610203128E-03,  3.549517510641112E-03,
2421016.882000000, A.D. 1916-Jun-02 09:10:04.8000,      18.919081,  1.515194131508359E+01, -1.122666175085292E+01, -5.131627420793090E+00, -1.346309904316583E-02,  7.187023506508221E-03,  3.140721553437297E-03,
