*******************************************************************************
 Revised: July 31, 2013                 Venus                           299 / 2
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.022498 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759        2650        2614
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Apr 22 21:50:43 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2016-Apr-22 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Apr-22 00:00:00.0000 TDB
Step-size       : 1000 steps
*******************************************************************************
Center geodetic : 9.85000000,57.0970000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 9.85000000,3472.92544,5331.7756 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
EOP file        : eop.190422.p190714                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-22. PREDICTS-> 2019-JUL-13
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2457500.500000000, A.D. 2016-Apr-22 00:00:00.0000,      68.185568,  1.576048007379161E+00,  5.397699219441014E-01,  1.889459588280046E-01, -1.004900081241809E-02,  3.185529311621074E-02,  1.413227789653769E-02,
2457501.595000000, A.D. 2016-Apr-23 02:16:48.0000,      68.185558,  1.564652563374107E+00,  5.744239173808432E-01,  2.043927550546411E-01, -1.097729207888017E-02,  3.157219804683858E-02,  1.407979792019940E-02,
2457502.690000000, A.D. 2016-Apr-24 04:33:36.0000,      68.185547,  1.552293024679144E+00,  6.088299307866156E-01,  2.197767758079907E-01, -1.184919688253160E-02,  3.125413283754590E-02,  1.401767388860055E-02,
2457503.785000000, A.D. 2016-Apr-25 06:50:24.0000,      68.185535,  1.538979764767588E+00,  6.429650574753871E-01,  2.350875407558223E-01, -1.266569159889608E-02,  3.093367698397734E-02,  1.394590622495714E-02,
2457504.880000000, A.D. 2016-Apr-26 09:07:12.0000,      68.185523,  1.524722715838239E+00,  6.768093948727238E-01,  2.503145697045964E-01, -1.344624116920020E-02,  3.063653867251078E-02,  1.386452814397880E-02,
2457505.975000000, A.D. 2016-Apr-27 11:24:00.0000,      68.185510,  1.509529882000169E+00,  7.103448801542446E-01,  2.654473893019867E-01, -1.422142917838544E-02,  3.037213590401160E-02,  1.377359374320474E-02,
2457507.070000000, A.D. 2016-Apr-28 13:40:48.0000,      68.185496,  1.493406803666955E+00,  7.435534793852553E-01,  2.804755382612840E-01, -1.502150060768638E-02,  3.013016307269360E-02,  1.367315973014551E-02,
2457508.165000000, A.D. 2016-Apr-29 15:57:36.0000,      68.185482,  1.476357174282878E+00,  7.764153955106295E-01,  2.953885706305240E-01, -1.586502421866152E-02,  2.988440428714535E-02,  1.356326753274243E-02,
2457509.260000000, A.D. 2016-Apr-30 18:14:24.0000,      68.185468,  1.458384389047212E+00,  8.089079561132202E-01,  3.101760574859375E-01, -1.675183703632247E-02,  2.960239359338621E-02,  1.344393261110423E-02,
2457510.355000000, A.D. 2016-May-01 20:31:12.0000,      68.185454,  1.439493465248997E+00,  8.410055937026411E-01,  3.248275884810628E-01, -1.766286031561745E-02,  2.925737591033358E-02,  1.331514555246507E-02,
2457511.450000000, A.D. 2016-May-02 22:48:00.0000,      68.185439,  1.419692639412037E+00,  8.726809331991046E-01,  3.393327757659744E-01, -1.856685315822946E-02,  2.883817916209948E-02,  1.317688579449238E-02,
