JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,
2420975.500000000, A.D. 1916-Apr-22 00:00:00.0000,      18.813002,  5.638282869523080E+00,  1.685683936654668E+00,  6.082496732301984E-01, -1.109023377339011E-02,  2.047621469301590E-02,  8.846596748151385E-03,
2420979.262000000, A.D. 1916-Apr-25 18:17:16.8000,      18.822706,  5.595118919156940E+00,  1.761197507674394E+00,  6.410721508560389E-01, -1.185027276720610E-02,  1.989755163446495E-02,  8.599047406420179E-03,
2420983.024000000, A.D. 1916-Apr-29 12:34:33.6000,      18.832398,  5.548413052122884E+00,  1.834462664271622E+00,  6.729113031236473E-01, -1.273740517941411E-02,  1.907422972691909E-02,  8.325292209973363E-03,
2420986.786000000, A.D. 1916-May-03 06:51:50.4000,      18.842078,  5.498386989292254E+00,  1.905282307056729E+00,  7.036776675267122E-01, -1.378607859139779E-02,  1.833903985983023E-02,  8.027913973291126E-03,
2420990.548000000, A.D. 1916-May-07 01:09:07.2000,      18.851746,  5.445241089273183E+00,  1.973420034522600E+00,  7.332907517454889E-01, -1.467463213827760E-02,  1.778249336646742E-02,  7.710368505655328E-03,
2420994.310000000, A.D. 1916-May-10 19:26:24.0000,      18.861401,  5.389137767344720E+00,  2.038686331297893E+00,  7.616782097318439E-01, -1.526669959215553E-02,  1.711085492297054E-02,  7.377802837517645E-03,
2420998.072000000, A.D. 1916-May-14 13:43:40.8000,      18.871045,  5.330260615530786E+00,  2.100979141711961E+00,  7.887776237454043E-01, -1.584154963794341E-02,  1.615284109344295E-02,  7.028729166486876E-03,
2421001.834000000, A.D. 1916-May-18 08:00:57.6000,      18.880676,  5.268871216318998E+00,  2.160207692215228E+00,  8.145368152638748E-01, -1.661176861424915E-02,  1.517137270182344E-02,  6.665283124871417E-03,
2421005.596000000, A.D. 1916-May-22 02:18:14.4000,      18.890296,  5.205210593953543E+00,  2.216224638442598E+00,  8.389071823875891E-01, -1.735720159732260E-02,  1.440848061956314E-02,  6.287620883970798E-03,
2421009.358000000, A.D. 1916-May-25 20:35:31.2000,      18.899903,  5.139456939028154E+00,  2.268872708651806E+00,  8.618372832378873E-01, -1.780393158833640E-02,  1.367950904130019E-02,  5.898263624202386E-03,
2421013.120000000, A.D. 1916-May-29 14:52:48.0000,      18.909498,  5.071783245489865E+00,  2.318054599446009E+00,  8.832725881407929E-01, -1.808871457204466E-02,  1.268721761218227E-02,  5.495788784057818E-03,
2421016.882000000, A.D. 1916-Jun-02 09:10:04.8000,      18.919081,  5.002456410832474E+00,  2.363719572390848E+00,  9.031695322987313E-01, -1.852301947034768E-02,  1.154301187715444E-02,  5.081778609558487E-03,
2421020.644000000, A.D. 1916-Jun-06 03:27:21.6000,      18.928652,  4.931785229499960E+00,  2.405776606085219E+00,  9.214938839015040E-01, -1.904416743128882E-02,  1.057652104014398E-02,  4.658957114168436E-03,
2421024.406000000, A.D. 1916-Jun-09 21:44:38.4000,      18.938211,  4.860030845169158E+00,  2.444122490401946E+00,  9.382253101553466E-01, -1.932641130994528E-02,  9.782904341231559E-03,  4.233236257559616E-03,
2421028.168000000, A.D. 1916-Jun-13 16:01:55.2000,      18.947758,  4.787396285457474E+00,  2.478714496063465E+00,  9.533483653422357E-01, -1.933392204340503E-02,  8.837721811099488E-03,  3.806447526295263E-03,
2421031.930000000, A.D. 1916-Jun-17 10:19:12.0000,      18.957293,  4.714115143048313E+00,  2.509590683843652E+00,  9.668578224952650E-01, -1.939461146254316E-02,  7.665100895962284E-03,  3.377057618114681E-03,
2421035.692000000, A.D. 1916-Jun-21 04:36:28.8000,      18.966815,  4.640469619389017E+00,  2.536753418206936E+00,  9.787447912694768E-01, -1.962916176205439E-02,  6.570258107638535E-03,  2.943337336053797E-03,
2421039.454000000, A.D. 1916-Jun-24 22:53:45.6000,      18.976326,  4.566725166978332E+00,  2.560144880679878E+00,  9.890022515691720E-01, -1.975125602009672E-02,  5.718377749717015E-03,  2.507824765347470E-03,
2421043.216000000, A.D. 1916-Jun-28 17:11:02.4000,      18.985825,  4.493098298115230E+00,  2.579723154862346E+00,  9.976249628583810E-01, -1.955028205081003E-02,  4.855295404850307E-03,  2.075257064697572E-03,
2421046.978000000, A.D. 1916-Jul-02 11:28:19.2000,      18.995312,  4.419815114463344E+00,  2.595543220329791E+00,  1.004621525992190E+00, -1.925756396199337E-02,  3.747999351205207E-03,  1.645919011198147E-03,
