JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,
2422070.500000000, A.D. 1919-Apr-22 00:00:00.0000,      21.178903,  1.401286891898857E+01, -1.413962646259623E+01,  2.166418483179417E+00,  2.699507168968053E-03,  2.605573813178753E-03,  1.269929757587121E-04,
2422074.152500000, A.D. 1919-Apr-25 15:39:36.0000,      21.185443,  1.402272562301860E+01, -1.413010627649061E+01,  2.166881957854824E+00,  2.697697886627156E-03,  2.607413049734563E-03,  1.267928568565737E-04,
2422077.805000000, A.D. 1919-Apr-29 07:19:12.0000,      21.191975,  1.403257558474709E+01, -1.412057939737237E+01,  2.167344110664124E+00,  2.695718213011083E-03,  2.609293422827413E-03,  1.262919112277720E-04,
2422081.457500000, A.D. 1919-May-02 22:58:48.0000,      21.198500,  1.404241822669317E+01, -1.411104543527956E+01,  2.167805501192458E+00,  2.693862003346738E-03,  2.611186891275318E-03,  1.262898217154722E-04,
2422085.110000000, A.D. 1919-May-06 14:38:24.0000,      21.205017,  1.405225466882155E+01, -1.410150499391752E+01,  2.168266093500712E+00,  2.692205681432506E-03,  2.612887419839056E-03,  1.257544209905182E-04,
2422088.762500000, A.D. 1919-May-10 06:18:00.0000,      21.211527,  1.406208391441199E+01, -1.409195770715820E+01,  2.168724896605720E+00,  2.690064832476709E-03,  2.614893530973137E-03,  1.255253343287860E-04,
2422092.415000000, A.D. 1919-May-13 21:57:36.0000,      21.218029,  1.407190609487736E+01, -1.408240344199184E+01,  2.169183208976104E+00,  2.688373491306097E-03,  2.616670035988007E-03,  1.253649665959509E-04,
2422096.067500000, A.D. 1919-May-17 13:37:12.0000,      21.224523,  1.408172167376693E+01, -1.407284256762199E+01,  2.169640289795509E+00,  2.686365776621857E-03,  2.618583181042944E-03,  1.250151909482866E-04,
2422099.720000000, A.D. 1919-May-21 05:16:48.0000,      21.231009,  1.409153030496869E+01, -1.406327485479050E+01,  2.170096456197483E+00,  2.684595473960434E-03,  2.620393305722600E-03,  1.248160727525932E-04,
2422103.372500000, A.D. 1919-May-24 20:56:24.0000,      21.237488,  1.410133228484793E+01, -1.405370054008102E+01,  2.170551235677380E+00,  2.682559613896353E-03,  2.622290090915036E-03,  1.242891011537980E-04,
2422107.025000000, A.D. 1919-May-28 12:36:00.0000,      21.243960,  1.411112680506950E+01, -1.404411913179012E+01,  2.171005065426322E+00,  2.680641369559019E-03,  2.624204438376444E-03,  1.242702018405825E-04,
2422110.677500000, A.D. 1919-Jun-01 04:15:36.0000,      21.250423,  1.412091497931006E+01, -1.403453116119796E+01,  2.171458353735632E+00,  2.678962040920666E-03,  2.625915307342495E-03,  1.237851414882737E-04,
2422114.330000000, A.D. 1919-Jun-04 19:55:12.0000,      21.256879,  1.413069621602867E+01, -1.402493651285896E+01,  2.171909898977347E+00,  2.676912007653687E-03,  2.627849647156834E-03,  1.234763691229503E-04,
2422117.982500000, A.D. 1919-Jun-08 11:34:48.0000,      21.263328,  1.414047023163706E+01, -1.401533488423621E+01,  2.172360695920252E+00,  2.675125594362851E-03,  2.629655916173978E-03,  1.232536714815023E-04,
2422121.635000000, A.D. 1919-Jun-12 03:14:24.0000,      21.269769,  1.415023750943403E+01, -1.400572659157349E+01,  2.172810411374516E+00,  2.673177846159489E-03,  2.631539832643197E-03,  1.229952346074377E-04,
2422125.287500000, A.D. 1919-Jun-15 18:54:00.0000,      21.276202,  1.415999783679738E+01, -1.399611149928832E+01,  2.173259225688881E+00,  2.671403259866284E-03,  2.633338576473382E-03,  1.227804180813126E-04,
2422128.940000000, A.D. 1919-Jun-19 10:33:36.0000,      21.282628,  1.416975158021023E+01, -1.398648987005981E+01,  2.173706726555530E+00,  2.669410263320812E-03,  2.635212076237458E-03,  1.223195640385863E-04,
2422132.592500000, A.D. 1919-Jun-23 02:13:12.0000,      21.289046,  1.417949787965070E+01, -1.397686124067152E+01,  2.174152985030474E+00,  2.667411794098232E-03,  2.637142225411119E-03,  1.221964497099830E-04,
2422136.245000000, A.D. 1919-Jun-26 17:52:48.0000,      21.295457,  1.418923751784015E+01, -1.396722589611982E+01,  2.174598837205072E+00,  2.665657466467590E-03,  2.638909123625582E-03,  1.218718018869271E-04,
2422139.897500000, A.D. 1919-Jun-30 09:32:24.0000,      21.301860,  1.419897051139711E+01, -1.395758402890803E+01,  2.175043157754219E+00,  2.663716524772371E-03,  2.640759521169453E-03,  1.214566343719646E-04,
2422143.550000000, A.D. 1919-Jul-04 01:12:00.0000,      21.308256,  1.420869621745661E+01, -1.394793522371830E+01,  2.175486438859197E+00,  2.661798464034829E-03,  2.642620303787384E-03,  1.211873740236122E-04,
2422147.202500000, A.D. 1919-Jul-07 16:51:36.0000,      21.314644,  1.421841507613320E+01, -1.393827970711992E+01,  2.175928757882681E+00,  2.659931334340432E-03,  2.644453892596012E-03,  1.209348454071956E-04,
2422150.855000000, A.D. 1919-Jul-11 08:31:12.0000,      21.321025,  1.422812689516330E+01, -1.392861738084831E+01,  2.176370134910095E+00,  2.658085306490580E-03,  2.646280544355643E-03,  1.207109591088467E-04,
2422154.507500000, A.D. 1919-Jul-15 00:10:48.0000,      21.327398,  1.423783215237267E+01, -1.391894852524640E+01,  2.176810433902689E+00,  2.656231427794028E-03,  2.648084971534724E-03,  1.203399347641522E-04,
2422158.160000000, A.D. 1919-Jul-18 15:50:24.0000,      21.333764,  1.424753009898383E+01, -1.390927282754471E+01,  2.177249171287644E+00,  2.654147522691616E-03,  2.650025923181176E-03,  1.200667020848554E-04,
2422161.812500000, A.D. 1919-Jul-22 07:30:00.0000,      21.340123,  1.425722096848106E+01, -1.389959023501994E+01,  2.177687498947377E+00,  2.652327538891745E-03,  2.651849270006520E-03,  1.199490673064581E-04,
2422165.465000000, A.D. 1919-Jul-25 23:09:36.0000,      21.346474,  1.426690538726037E+01, -1.388990122371192E+01,  2.178124564568388E+00,  2.650451563415508E-03,  2.653639419298129E-03,  1.194519039810077E-04,
2422169.117500000, A.D. 1919-Jul-29 14:49:12.0000,      21.352817,  1.427658250368994E+01, -1.388020534853614E+01,  2.178560371592969E+00,  2.648424741965669E-03,  2.655547317119665E-03,  1.191980857948224E-04,
2422172.770000000, A.D. 1919-Aug-02 06:28:48.0000,      21.359154,  1.428625272539272E+01, -1.387050277924383E+01,  2.178995260493586E+00,  2.646596607468765E-03,  2.657332983368973E-03,  1.188618674718994E-04,
2422176.422500000, A.D. 1919-Aug-05 22:08:24.0000,      21.365483,  1.429591573819980E+01, -1.386079337871615E+01,  2.179429104275933E+00,  2.644628160302000E-03,  2.659212606054132E-03,  1.186548322911415E-04,
2422180.075000000, A.D. 1919-Aug-09 13:48:00.0000,      21.371804,  1.430557214915715E+01, -1.385107743033358E+01,  2.179862195257535E+00,  2.642932526285502E-03,  2.660926505855696E-03,  1.183365674912233E-04,
2422183.727500000, A.D. 1919-Aug-13 05:27:36.0000,      21.378118,  1.431522145510028E+01, -1.384135484109055E+01,  2.180293498098586E+00,  2.640789061607163E-03,  2.662860629892989E-03,  1.179218956303535E-04,
2422187.380000000, A.D. 1919-Aug-16 21:07:12.0000,      21.384425,  1.432486331089913E+01, -1.383162523866548E+01,  2.180724258838355E+00,  2.638943861648986E-03,  2.664703766434399E-03,  1.179453743305606E-04,
2422191.032500000, A.D. 1919-Aug-20 12:46:48.0000,      21.390725,  1.433449873944287E+01, -1.382188925235918E+01,  2.181153997180187E+00,  2.637080179142565E-03,  2.666468153266627E-03,  1.174348268720816E-04,
2422194.685000000, A.D. 1919-Aug-24 04:26:24.0000,      21.397017,  1.434412689558986E+01, -1.381214649486385E+01,  2.181582393397344E+00,  2.635028040616689E-03,  2.668381942221417E-03,  1.172450446027740E-04,
2422198.337500000, A.D. 1919-Aug-27 20:06:00.0000,      21.403302,  1.435374817365892E+01, -1.380239712364132E+01,  2.182009836357247E+00,  2.633177852818358E-03,  2.670144372225174E-03,  1.168039198568321E-04,
2422201.990000000, A.D. 1919-Aug-31 11:45:36.0000,      21.409579,  1.436336207560600E+01, -1.379264092498683E+01,  2.182436085897201E+00,  2.631089861432958E-03,  2.672073441489221E-03,  1.166328378205203E-04,
2422205.642500000, A.D. 1919-Sep-04 03:25:12.0000,      21.415849,  1.437296925740656E+01, -1.378287814317959E+01,  2.182861865651603E+00,  2.629473127289140E-03,  2.673727704653518E-03,  1.163274552745225E-04,
2422209.295000000, A.D. 1919-Sep-07 19:04:48.0000,      21.422112,  1.438256956271412E+01, -1.377310892090983E+01,  2.183285827656528E+00,  2.627327397445114E-03,  2.675628273530413E-03,  1.158259333593790E-04,
2422212.947500000, A.D. 1919-Sep-11 10:44:24.0000,      21.428368,  1.439216220865762E+01, -1.376333268764168E+01,  2.183709009651935E+00,  2.625468670824980E-03,  2.677457817001053E-03,  1.158462706299857E-04,
2422216.600000000, A.D. 1919-Sep-15 02:24:00.0000,      21.434617,  1.440174828058391E+01, -1.375355003941958E+01,  2.184131338977385E+00,  2.623589078770504E-03,  2.679220227829572E-03,  1.153958711144335E-04,
2422220.252500000, A.D. 1919-Sep-18 18:03:36.0000,      21.440858,  1.441132714822561E+01, -1.374376072058942E+01,  2.184552371485885E+00,  2.621599480551896E-03,  2.681089229592610E-03,  1.152545850362656E-04,
2422223.905000000, A.D. 1919-Sep-22 09:43:12.0000,      21.447092,  1.442089917976827E+01, -1.373396488785789E+01,  2.184972390295554E+00,  2.619703936009493E-03,  2.682851081626768E-03,  1.147697695801335E-04,
2422227.557500000, A.D. 1919-Sep-26 01:22:48.0000,      21.453319,  1.443046377731963E+01, -1.372416228669086E+01,  2.185391054286193E+00,  2.617559328207215E-03,  2.684795510753717E-03,  1.146163319756901E-04,
2422231.210000000, A.D. 1919-Sep-29 17:02:24.0000,      21.459539,  1.444002145573788E+01, -1.371435303855616E+01,  2.185809368254085E+00,  2.615894961381423E-03,  2.686462777873714E-03,  1.143331617515941E-04,
2422234.862500000, A.D. 1919-Oct-03 08:42:00.0000,      21.465751,  1.444957247289380E+01, -1.370453749020556E+01,  2.186226065009787E+00,  2.613820797731618E-03,  2.688307074801912E-03,  1.138168989017800E-04,
2422238.515000000, A.D. 1919-Oct-07 00:21:36.0000,      21.471957,  1.445911582995437E+01, -1.369471503525276E+01,  2.186641679807915E+00,  2.611910319571799E-03,  2.690127699301677E-03,  1.137049167363582E-04,
2422242.167500000, A.D. 1919-Oct-10 16:01:12.0000,      21.478155,  1.446865236016034E+01, -1.368488607220853E+01,  2.187056540181104E+00,  2.610013725382312E-03,  2.691899482738419E-03,  1.133550205293795E-04,
2422245.820000000, A.D. 1919-Oct-14 07:40:48.0000,      21.484346,  1.447818175301381E+01, -1.367505051596800E+01,  2.187470206929957E+00,  2.608102669810011E-03,  2.693706649218179E-03,  1.131902262883803E-04,
2422249.472500000, A.D. 1919-Oct-17 23:20:24.0000,      21.490530,  1.448770429766947E+01, -1.366520849963881E+01,  2.187882855572705E+00,  2.606185961287481E-03,  2.695471775990229E-03,  1.127562177279209E-04,
2422253.125000000, A.D. 1919-Oct-21 15:00:00.0000,      21.496706,  1.449721948744866E+01, -1.365535983882359E+01,  2.188294012439051E+00,  2.604061106580338E-03,  2.697380857702327E-03,  1.125526981062759E-04,
2422256.777500000, A.D. 1919-Oct-25 06:39:36.0000,      21.502876,  1.450672745945443E+01, -1.364550444774089E+01,  2.188704727498062E+00,  2.602248293203484E-03,  2.699122905394126E-03,  1.123468614152855E-04,
