time,I
0.221,1621.00
0.965,210.00
1.378,1664.00
2.166,306.00
2.423,1571.00
2.757,1675.00
3.245,227.00
3.654,1659.00
4.444,299.00
4.697,1532.00
4.962,1654.00
5.546,246.00
5.939,1659.00
6.725,287.00
7.002,1553.00
7.318,1676.00
7.721,399.00
8.003,328.00
8.245,1668.00
8.971,295.00
9.292,1565.00
9.575,1655.00
10.138,204.00
10.541,1667.00
11.225,302.00
11.590,1551.00
11.911,1661.00
12.313,369.00
12.799,1637.00
13.522,294.00
13.844,1540.00
14.205,1665.00
14.609,389.00
14.849,355.00
15.092,1662.00
15.817,274.00
16.141,1535.00
16.421,1640.00
16.905,328.00
17.387,1657.00
18.092,280.00
18.434,1555.00
18.756,1643.00
19.175,357.00
19.660,1620.00
20.363,272.00
20.702,1410.00
21.045,1618.00
21.448,358.00
21.930,1600.00
22.655,282.00
22.979,1502.00
23.341,1629.00
23.743,365.00
23.984,351.00
24.228,1626.00
24.950,265.00
25.314,1502.00
25.634,1608.00
26.037,325.00
26.524,1621.00
27.246,270.00
27.569,1497.00
27.892,1611.00
28.295,338.00
28.820,1606.00
29.501,275.00
29.864,1493.00
30.187,1618.00
30.588,352.00
31.071,1583.00
31.798,279.00
32.119,1476.00
32.446,1615.00
32.884,361.00
33.126,347.00
33.368,1610.00
34.092,259.00
34.414,1484.00
34.696,1603.00
35.180,322.00
35.663,1616.00
36.387,258.00
36.710,1492.00
37.034,1614.00
37.433,343.00
37.917,1599.00
38.641,264.00
38.966,1487.00
39.326,1612.00
39.729,358.00
39.971,333.00
40.215,1582.00
40.937,257.00
41.301,1485.00
41.622,1598.00
42.024,305.00
42.508,1582.00
43.233,244.00
43.555,1481.00
43.876,1609.00
44.282,340.00
44.804,1577.00
45.487,264.00
45.851,1448.00
46.172,1586.00
46.575,337.00
47.058,1571.00
47.783,264.00
48.106,1451.00
48.429,1608.00
48.834,356.00
49.112,317.00
49.357,1587.00
50.079,255.00
50.401,1478.00
50.724,1589.00
51.166,310.00
51.648,1591.00
52.334,254.00
52.699,1466.00
53.017,1588.00
53.420,335.00
53.984,1620.00
54.635,264.00
54.951,1443.00
55.232,1594.00
55.720,345.00
55.957,322.00
56.200,1584.00
56.924,252.00
57.246,1490.00
57.611,1598.00
58.013,304.00
58.497,1586.00
