time,I
0.008,193.00
0.248,1740.00
0.810,22.00
1.133,200.00
1.374,1731.00
1.856,545.00
2.099,1745.00
2.582,17.00
2.983,200.00
3.269,1733.00
3.671,261.00
3.910,1741.00
4.474,63.00
4.796,200.00
5.037,1727.00
5.522,786.00
5.803,1732.00
6.292,10.00
6.649,200.00
6.931,1754.00
7.332,305.00
7.574,1755.00
8.137,122.00
8.420,1737.00
9.105,45.00
9.426,200.00
9.669,1717.00
9.951,13.00
10.352,200.00
10.595,1759.00
10.997,406.00
11.279,1755.00
11.762,12.00
12.124,200.00
12.407,1731.00
12.812,164.00
13.050,1741.00
13.614,42.00
13.936,200.00
14.178,1734.00
14.661,542.00
14.946,1733.00
15.427,16.00
15.829,200.00
16.079,1762.00
16.473,239.00
16.714,1759.00
17.279,74.00
17.601,200.00
17.843,1758.00
18.286,28.00
18.569,200.00
18.850,1725.00
19.091,16.00
19.493,200.00
19.734,1760.00
20.137,308.00
20.419,1763.00
20.983,142.00
21.225,1751.00
21.952,57.00
22.232,200.00
22.514,1678.00
22.754,18.00
23.157,200.00
23.399,1769.00
23.722,20.00
24.124,200.00
24.406,1456.00
24.647,286.00
24.890,1761.00
25.614,169.00
25.856,1763.00
26.420,49.00
26.742,200.00
26.983,1754.00
27.426,21.00
27.791,200.00
28.072,1423.00
28.314,345.00
28.553,1748.00
29.279,203.00
29.562,1772.00
30.124,82.00
30.404,200.00
30.687,1766.00
31.089,26.00
31.458,200.00
31.733,1118.00
31.982,409.00
32.258,1752.00
32.946,248.00
33.223,1771.00
33.706,18.00
34.109,200.00
34.350,1758.00
34.754,78.00
35.075,200.00
35.320,1589.00
35.558,24.00
35.967,200.00
36.245,1744.00
36.569,19.00
36.967,200.00
37.209,1224.00
37.452,331.00
37.732,1751.00
38.460,203.00
38.720,1787.00
39.183,20.00
39.585,200.00
39.827,1758.00
40.229,37.00
40.552,200.00
40.799,1629.00
41.074,16.00
41.438,200.00
41.719,1771.00
42.041,18.00
42.445,200.00
42.689,1341.00
42.966,298.00
43.209,1746.00
43.854,20.00
44.255,200.00
44.500,1488.00
44.761,83.00
45.061,200.00
45.303,1748.00
45.705,28.00
46.110,200.00
46.389,606.00
46.631,424.00
46.873,1754.00
47.518,19.00
47.920,200.00
48.165,1414.00
48.443,221.00
48.686,1755.00
49.410,77.00
49.692,200.00
49.974,1571.00
50.216,22.00
50.617,200.00
50.860,1838.00
51.223,20.00
51.585,200.00
51.867,565.00
52.107,351.00
52.350,1762.00
52.994,21.00
53.398,200.00
53.640,1426.00
53.920,165.00
54.161,1762.00
54.888,38.00
55.290,200.00
55.531,414.00
56.015,1771.00
56.661,19.00
57.060,200.00
57.304,1442.00
57.545,107.00
57.826,1780.00
58.551,21.00
58.913,200.00
59.194,493.00
59.438,405.00
59.679,1756.00
60.323,19.00
60.724,200.00
60.968,1170.00
61.247,214.00
61.489,1748.00
62.217,53.00
62.539,200.00
62.778,1524.00
63.019,23.00
63.422,200.00
63.664,1764.00
64.027,19.00
64.390,200.00
64.671,648.00
64.911,314.00
65.194,1749.00
65.798,18.00
66.199,200.00
66.482,1281.00
66.723,145.00
66.965,1742.00
67.689,22.00
68.092,200.00
68.334,366.00
68.816,1751.00
69.461,16.00
69.864,200.00
70.107,1420.00
70.386,86.00
70.670,200.00
70.951,1751.00
71.352,18.00
71.756,200.00
71.997,421.00
72.242,338.00
72.521,1767.00
73.131,20.00
73.529,200.00
73.814,1030.00
74.050,139.00
74.292,1757.00
75.019,19.00
75.420,200.00
75.661,288.00
76.145,1755.00
76.787,20.00
77.194,200.00
77.434,1178.00
77.712,120.00
77.956,1754.00
78.683,20.00
79.084,200.00
79.324,339.00
79.807,1762.00
80.451,19.00
80.856,200.00
81.098,1368.00
81.338,73.00
81.660,200.00
81.901,1758.00
82.305,19.00
82.706,200.00
82.988,367.00
83.233,333.00
83.475,1750.00
84.116,13.00
84.523,200.00
84.759,665.00
85.041,131.00
85.281,1753.00
85.926,14.00
86.411,200.00
86.652,180.00
87.135,1781.00
87.778,16.00
88.181,200.00
88.423,642.00
88.708,149.00
88.946,1764.00
89.590,14.00
90.073,200.00
90.318,142.00
90.799,1763.00
91.442,14.00
91.845,200.00
92.086,626.00
92.367,145.00
92.610,1774.00
93.254,13.00
93.737,200.00
93.983,153.00
94.468,1753.00
95.105,19.00
95.508,200.00
