"t (s)","Illuminance (lx)"
3.282560110E-1,0.000000000E0
4.109710455E-1,5.000000000E0
1.044803023E0,0.000000000E0
1.078458071E0,5.000000000E0
1.645619035E0,0.000000000E0
1.728713036E0,5.000000000E0
4.996994019E0,0.000000000E0
5.062961102E0,5.000000000E0
5.597475052E0,0.000000000E0
5.663684011E0,5.000000000E0
8.231616020E0,0.000000000E0
8.298153996E0,5.000000000E0
1.216735804E1,0.000000000E0
1.223413301E1,5.000000000E0
1.420139503E1,0.000000000E0
1.426775205E1,5.000000000E0
1.480158603E1,0.000000000E0
1.486853099E1,5.000000000E0
1.873699903E1,0.000000000E0
1.883680999E1,5.000000000E0
2.077134204E1,0.000000000E0
2.083770704E1,5.000000000E0
2.137134802E1,0.000000000E0
2.150687706E1,5.000000000E0
2.340581310E1,0.000000000E0
2.347287202E1,5.000000000E0
2.400667500E1,0.000000000E0
2.410591006E1,5.000000000E0
2.604100704E1,0.000000000E0
2.611568403E1,5.000000000E0
2.664100707E1,0.000000000E0
2.670726001E1,5.000000000E0
2.734095609E1,0.000000000E0
2.740757501E1,5.000000000E0
2.794136703E1,0.000000000E0
2.800858808E1,5.000000000E0
2.867585111E1,0.000000000E0
2.874273610E1,5.000000000E0
2.927544606E1,0.000000000E0
2.934175611E1,5.000000000E0
2.997595108E1,0.000000000E0
3.004279602E1,5.000000000E0
3.057598007E1,0.000000000E0
3.064248800E1,5.000000000E0
3.190958309E1,0.000000000E0
3.197607505E1,5.000000000E0
3.260981107E1,0.000000000E0
3.267627501E1,5.000000000E0
3.321001899E1,0.000000000E0
3.327666104E1,5.000000000E0
3.394393206E1,0.000000000E0
3.401011109E1,5.000000000E0
3.454386806E1,0.000000000E0
3.461054802E1,5.000000000E0
3.524485910E1,0.000000000E0
3.531151307E1,5.000000000E0
3.584737003E1,0.000000000E0
3.591355300E1,5.000000000E0
3.657959604E1,0.000000000E0
3.664573205E1,5.000000000E0
3.717986107E1,0.000000000E0
3.724692404E1,5.000000000E0
3.787945008E1,0.000000000E0
3.794591701E1,5.000000000E0
3.848155200E1,0.000000000E0
3.854673409E1,5.000000000E0
3.921356010E1,0.000000000E0
3.928011906E1,5.000000000E0
3.981389105E1,0.000000000E0
3.988017404E1,5.000000000E0
4.051435208E1,0.000000000E0
4.061405706E1,5.000000000E0
4.111452806E1,0.000000000E0
4.118048406E1,5.000000000E0
4.184832311E1,0.000000000E0
4.195100808E1,5.000000000E0
4.244867909E1,0.000000000E0
4.254817200E1,5.000000000E0
4.448343503E1,0.000000000E0
4.458577001E1,5.000000000E0
4.508347011E1,0.000000000E0
4.518332100E1,5.000000000E0
4.641953206E1,0.000000000E0
4.648377204E1,5.000000000E0
4.771832800E1,0.000000000E0
4.781796300E1,5.000000000E0
4.845142102E1,0.000000000E0
4.855127501E1,5.000000000E0
4.905177009E1,0.000000000E0
4.915155101E1,5.000000000E0
4.978619909E1,0.000000000E0
4.985285008E1,5.000000000E0
5.038572502E1,0.000000000E0
5.045651507E1,5.000000000E0
5.108620906E1,0.000000000E0
5.122150600E1,5.000000000E0
5.168644810E1,0.000000000E0
5.178620803E1,5.000000000E0
5.241992009E1,0.000000000E0
5.251940203E1,5.000000000E0
5.302032399E1,0.000000000E0
5.311984205E1,5.000000000E0
5.375404108E1,0.000000000E0
5.385447407E1,5.000000000E0
5.435434806E1,0.000000000E0
5.445383704E1,5.000000000E0
5.508862805E1,0.000000000E0
5.515712905E1,5.000000000E0
5.565485203E1,0.000000000E0
5.575474811E1,5.000000000E0
6.049035299E1,0.000000000E0
6.064014506E1,5.000000000E0
6.094052005E1,0.000000000E0
6.117509401E1,5.000000000E0
